race,frame_number,horse_number,horse_name,sex,age,basis_weight,jocky,jocky2,odds,popularity,,
1,1,1,ゴールデンマクリス,牝,3,54,北村宏,古賀慎,56.4,12,, 
1,1,2,エンパイアスタイル,牝,3,54,大野,新開,6.9,2,, 
1,2,3,ヤマニンベルベーヌ,牝,3,54,菅原,中川,108.2,16,, 
1,2,4,ラフメイカー,牝,3,54,松岡,松永康,16.1,7,, 
1,3,5,アキサージュ,牝,3,54,杉原,佐藤吉,83.8,15,, 
1,3,6,シェリーカスク,牝,3,54,戸崎圭,萩原,7.7,3,, 
1,4,7,ハルナ,牝,3,52,井上,小桧山,72.1,14,, 
1,4,8,サウスカップ,牝,3,51,野中,尾関,17.7,8,, 
1,5,9,メイショウアテン,牝,3,54,池添,小島太,2.3,1,, 
1,5,10,フレンドパリ,牝,3,54,丸山,南田,36,11,, 
1,6,11,ペイシャゲラン,牝,3,54,西田,松永康,21.6,9,, 
1,6,12,ミッキークルソラ,牝,3,51,菊沢,菊沢,9.6,4,, 
1,7,13,ヒロイックアゲン,牝,3,54,内田博,加藤和,13.8,5,, 
1,7,14,ティアップジャンコ,牝,3,54,江田照,小野,63.3,13,, 
1,8,15,ロージア,牝,3,53,木幡巧,牧,15.2,6,, 
1,8,16,ファントムレディ,牝,3,51,藤田菜,池上弘,23.6,10,, 
2,1,1,ドリームキャンパス,牡,3,54,井上,新開,159.1,16,, 
2,1,2,アリスカン,牡,3,56,柴山,田島,84.8,12,, 
2,2,3,ディアライゼ,牡,3,56,石川,伊藤圭,13.9,5,, 
2,2,4,ポッドティノ,牡,3,56,北村宏,大竹,23.1,8,, 
2,3,5,クリノタブマン,牝,3,54,的場,高橋博,84.8,13,, 
2,3,6,リパーカッション,牡,3,56,柴田大,牧,6.9,2,, 
2,4,7,キタバイキング,牡,3,56,菅原,奥平,90.9,14,, 
2,4,8,クープデュモンド,牡,3,56,吉田豊,戸田,15.7,6,, 
2,5,9,スマイルプリティ,牝,3,54,柴田善,本間,41,10,, 
2,5,10,ジャストヒーロー,牡,3,56,西田,柴田人,24.4,9,, 
2,6,11,ウインコーラル,牡,3,55,木幡初,黒岩,10.8,4,, 
2,6,12,チェリートリトン,牡,3,56,田辺,小西,1.8,1,, 
2,7,13,トミケンタルモ,牝,3,54,津村,上原,21.9,7,, 
2,7,14,コンサバボーイ,牡,3,56,吉田隼,高柳瑞,53,11,, 
2,8,15,シゲルヤマアラシ,牡,3,53,菊沢,松山,141.4,15,, 
2,8,16,ラッキーアドバンス,牡,3,56,内田博,勢司,8.7,3,, 
3,1,1,スウィートグロリア,牝,3,54,丸山,矢野,12.3,5,, 
3,1,2,ビービーパドル,牡,3,56,勝浦,中舘,18.4,9,, 
3,2,3,カフェガーネット,牝,3,51,野中,古賀慎,126.7,16,, 
3,2,4,マイネルハドソン,牡,3,56,丹内,伊藤大,52.1,13,, 
3,3,5,ウイントリニティー,牡,3,56,松岡,高橋祥,3.7,1,, 
