,lr
0,0.00974660087970426
1,0.18247109398793496
2,0.0012926061339676056
3,0.0640900451817648
4,0.0028334037014557615
5,0.1530801417443396
6,0.004718219154237872
7,0.05421860464002236
8,0.23217091355140604
9,0.01922356779958693
10,0.039232780254555254
11,0.1305940870330581
12,0.09601894257736622
13,0.006822240607204973
14,0.07941837441441173
15,0.032744445049322134
16,0.0003740156415114547
17,0.004732208760651506
18,0.09280698341042534
19,0.04400370994884932
20,0.004050194206998285
21,0.1772885744644605
22,0.0027863342681800386
23,0.07480185669009218
24,0.020579363625916367
25,0.03551562066576453
26,0.11970371233039112
27,0.228106374778603
28,0.056112673977957404
29,0.012348056810287465
30,0.0007094796284268183
31,0.14552260613742185
32,0.0992406784986885
33,0.040881783472458674
34,0.0008682452390969453
35,0.008639128162178279
36,0.22005253760624488
37,0.054042689784961725
38,0.002016674723203602
39,0.06565648552991751
40,0.14950837343144083
41,0.004836240538780699
42,0.011595295595919883
43,0.18746642378042194
44,0.02986133324616881
45,0.08417841471158577
46,0.12146064416111088
47,0.02383976338271077
48,0.0014529941808775248
49,0.0911777322868207
50,0.1395632321426479
51,0.010377850819470303
52,0.01872436856192468
53,0.00022066157441480536
54,0.05741810034991051
55,5.444389269671815e-06
56,0.04508380067006802
57,0.023052988128471466
58,3.805583062778825e-05
59,0.03293776376063824
60,0.22639372547349645
61,0.07263760530672451
62,0.0026151746785004217
63,0.19516434331117882
64,0.11949950148089203
65,0.1914401956474235
66,0.021637116246211407
67,0.040211042342972236
68,0.0022848396764285988
69,0.05081138143501607
70,0.23086951947467582
71,0.03220098865173282
72,0.00035754255929454836
73,0.15950969222772635
74,0.004398718312519546
75,0.01689215274747568
76,0.09413105726433232
77,0.06731010399215125
78,0.1304242777997982
79,0.012554618478854463
80,0.024085804545958062
81,0.21565269692298603
82,0.16853445218599897
83,0.10690124233886383
84,0.1974724682800265
85,0.08856338564482394
86,0.05861731897589317
87,0.044458173244103345
88,0.045025312353157945
89,0.03747433248159232
90,0.13097832335405954
91,0.06150199355205637
92,0.012491465167634837
93,0.055647829455907516
94,0.0031951128418265364
95,0.16248122962672165
96,0.0022157930690935054
97,0.1890329750006086
98,0.034879306106425895
99,0.0002488909640077801
100,0.01684789048312724
101,0.11431146549157241
102,0.07589054103078588
103,0.030426457717206753
104,6.895418915013816e-05
105,0.09338242275781507
106,0.006423115626581613
107,0.2334774166130834
108,0.04053090027342755
109,0.1287181329970313
110,0.03538299579377746
111,0.055647829455907516
112,0.10354676532256185
113,0.023229614656230774
114,0.18554114796336027
115,0.1539009082442692
116,0.2274241472997908
117,0.08813045975912791
118,0.013919859394190768
119,0.009969978663464659
120,0.004265667231201438
121,0.03725185123064813
122,0.025313435504708458
123,0.01901866457612336
124,0.10175012096811548
125,0.1448554974342667
126,0.06876114531653722
127,0.22375519652539835
128,0.00629611800848935
129,0.01253391836063654
130,0.1834900380128884
131,0.12114759156141047
132,0.00042702752564380877
133,0.007972632592043406
134,0.04721995929173666
135,0.08917738224136379
136,0.00964648338311493
137,0.1486402465406314
138,0.025267005502815795
139,0.07446507860043705
140,0.06307388957432189
141,0.048677305845354055
142,0.11766352396878373
143,0.01592897231237671
144,0.18583439716439376
145,0.228623915945733
146,0.04458072958550245
147,0.035816743901194395
148,0.0007092498821790941
149,0.06473452717320824
150,2.7648420506522168e-05
151,0.150256823333341
152,0.0791311861126495
153,0.00047476270062501026
154,0.11990822462888064
155,0.22511522024185526
156,0.027485907717901988
157,0.09980679393025865
158,0.016814250071263685
159,0.17446143961066532
160,0.012287592380185244
161,0.001432172910162869
162,0.00975961040194302
163,0.020979800146377747
164,0.06876114531653722
165,0.023296348497746363
166,0.012639394704674504
167,0.17403884411607126
168,0.00022858981715930706
169,0.1125007742126775
170,0.0020020068713252673
171,0.017251998010534356
172,0.08393454168070041
173,0.05707416752707028
174,0.045865496864939556
175,0.010265296319316369
176,0.007989813116276208
177,0.03472325269130729
178,0.2347890236474867
179,0.13939033060262732
